Rank,Player,Pos,Team,ADP
238,Darnell Mooney,WR,NYG,238
239,Rashod Bateman,WR,BAL,239
240,LeQuint Allen Jr.,RB,JAC,240
241,Chris Boswell,K,PIT,241
242,Jack Bech,WR,LV,242
243,Harrison Butker,K,KC,243
244,Ty Johnson,RB,BUF,244
245,Kaytron Allen,RB,WAS,245
246,Kaelon Black,RB,SF,246
247,Ollie Gordon II,RB,MIA,247
248,San Francisco 49ers,DST,SF,248
249,Ted Hurst III,WR,TB,249
250,Darren Waller,TE,CAR,250
251,Tua Tagovailoa,QB,ATL,251
252,Elic Ayomanor,WR,TEN,252
253,Devaughn Vele,WR,NO,253
254,Caleb Douglas,WR,MIA,254
255,Chimere Dike,WR,TEN,255
256,Chris Brooks,RB,GB,256
257,Elijah Sarratt,WR,BAL,257
258,Colby Parkinson,TE,LAR,258
259,Jaylen Wright,RB,MIA,259
260,Evan Engram,TE,DEN,260
261,Isaac TeSlaa,WR,DET,261
262,David Njoku,TE,LAC,262
263,Jordan James,RB,SF,263
264,Samaje Perine,RB,CIN,264
265,Isaiah Davis,RB,NYJ,265
266,Najee Harris,RB,NYG,266
267,Antonio Williams,WR,WAS,267
268,Malachi Fields,WR,NYG,268
269,Fernando Mendoza,QB,LV,269
270,DJ Giddens,RB,IND,270
271,Marvin Mims Jr.,WR,DEN,271
272,Wil Lutz,K,DEN,272
273,Kyle Williams,WR,NE,273
274,Chris Bell,WR,MIA,274
275,New Orleans Saints,DST,NO,275
276,Tory Horton,WR,SEA,276
277,Seth McGowan,RB,IND,277
278,Devin Neal,RB,NO,278
279,Jake Tonges,TE,SF,279
280,Atlanta Falcons,DST,ATL,280
281,Charlie Smyth,K,NO,281
282,Demond Claiborne,RB,MIN,282
283,Michael Penix Jr.,QB,ATL,283
284,Tyquan Thornton,WR,KC,284
285,Will Reichard,K,MIN,285
286,Brashard Smith,RB,KC,286
287,Shedeur Sanders,QB,CLE,287
288,Theo Johnson,TE,NYG,288
289,Elijah Arroyo,TE,SEA,289
290,Malik Davis,RB,DAL,290
291,Mason Taylor,TE,NYJ,291
292,Cole Kmet,TE,CHI,292
293,Eli Stowers,TE,PHI,293
294,Mike Gesicki,TE,CIN,294
295,Kirk Cousins,QB,LV,295
296,Christian Kirk,WR,SF,296
297,Darius Slayton,WR,NYG,297
298,DeMario Douglas,WR,NE,298
299,Skyler Bell,WR,BUF,299
300,Hollywood Brown,WR,PHI,300
301,Charlie Kolar,TE,LAC,301
302,Kendre Miller,RB,NO,302
303,Xavier Legette,WR,CAR,303
304,Mack Hollins,WR,NE,304
305,Michael Mayer,TE,LV,305
306,Deshaun Watson,QB,CLE,306
307,Trey Benson,RB,ARI,307
308,Chicago Bears,DST,CHI,308
309,Jaleel McLaughlin,RB,DEN,309
310,Jerome Ford,RB,WAS,310
311,Xavier Hutchinson,WR,HOU,311
312,Indianapolis Colts,DST,IND,312
313,Isaac Guerendo,RB,SF,313
314,Andrei Iosivas,WR,CIN,314
315,Joshua Palmer,WR,BUF,315
316,Isaiah Bond,WR,CLE,316
317,Jarquez Hunter,RB,MIA,317
318,Adam Randall,RB,BAL,318
319,Oscar Delp,TE,NO,319
320,Brandon Aiyuk,WR,SF,320
321,Erick All Jr.,TE,CIN,321
322,Brenen Thompson,WR,LAC,322
323,Dawson Knox,TE,BUF,323
324,Carson Beck,QB,ARI,324
325,Darnell Washington,TE,PIT,325
326,Eli Raridon,TE,NE,326
