Rank,Player,Pos,Team,ADP
69,Parker Washington,WR,FA,68.8
70,Caleb Williams,QB,FA,70.5
71,Jalen Hurts,QB,FA,72.1
72,Makai Lemon,WR,FA,72.5
73,Chuba Hubbard,RB,FA,72.9
74,Rhamondre Stevenson,RB,FA,74.9
75,Jaylen Warren,RB,FA,75.3
76,DK Metcalf,WR,FA,76.1
77,Tony Pollard,RB,FA,76.5
78,Alec Pierce,WR,FA,78.1
79,Dak Prescott,QB,FA,79.9
